occ1990,naics2,sh_change,sh_top12015,sh_top11980,top11980,top12015,sh_change_inc,over_inc,sh_change_pop,agg_inc1970,agg_inc1980,agg_inc1990,agg_inc2000,agg_inc2015,change,change_inc,change_pop,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,inctot1970,inctot1980,inctot1990,inctot2000,inctot2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,pop1970,pop1980,pop1990,pop2000,pop2015,sh_top11970,sh_top11990,sh_top12000,top11970,top11990,top12000,us_change,us_change_inc,us_change_pop,us_inc1970,us_inc1980,us_inc1990,us_inc2000,us_inc2015,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,us_pop1970,us_pop1980,us_pop1990,us_pop2000,us_pop2015,xsh_top1,xsh_top1_90
"Messengers","54",-.0000713,0,.0000215,.0032787,0,.0000384,-.0000137,.0000521,9975000,3.91e+07,1.47e+08,1.70e+08,2.69e+08,-20,2.30e+08,2544,-.5076559,-.6205322,-.3858422,-.4301364,-.3473074,2850,6408.508197,12210.66387,18189.05879,31146.06085,0,20,0,19,0,3500,6100,12028,9339,8644,0,0,.0000148,0,0,.0020345,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,0
"Managers of properties and real estate","51",-.0000713,0,.0000215,.02,0,.0000118,.0000105,1.33e-06,5955000,2.38e+07,5.08e+07,1.43e+08,9.46e+07,-20,7.09e+07,65,.2947248,.2193498,.3921402,.4585822,.3876325,11910,23761,44495.48949,62522.49782,88846.19718,0,20,20,30,0,500,1000,1142,2290,1065,0,.000018,.0000233,0,.0175131,.0131004,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,-.000018
"Supervisors of construction work","54",-.0000713,0,.0000215,.0075758,0,.0000288,.0000306,-1.76e-06,,6.02e+07,9.12e+07,1.38e+08,2.33e+08,-20,1.73e+08,-86,,.2306298,.3158479,.2445164,.0268064,,22812.57576,37833.34467,51534.23336,91157.52545,,20,0,0,0,,2640,2411,2674,2554,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,0
"Pharmacists","56",-.0000713,0,.0000215,.1428571,0,5.20e-06,-1.23e-06,6.43e-06,,3472100,4775568,5472400,3.46e+07,-20,3.12e+07,314,,-.3510233,.294226,.1354959,-.1053241,,24800.71429,28942.83636,53130.09709,76270.04405,,20,0,0,0,,140,165,103,454,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,0
"Guides","44-45",-.0000713,0,.0000215,.1666667,0,1.86e-06,-5.25e-06,7.11e-06,,1902700,3017672,1.33e+07,1.30e+07,-20,1.11e+07,347,,-.4016669,-.3453582,.0887376,-.4600145,,15855.83333,13293.70925,67758.37563,27905.78158,,20,0,27,0,,120,227,197,467,,0,.000021,,0,.1370558,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,0
"Crane, derrick, winch, and hoist operators","56",-.0000713,0,.0000215,.0075188,0,-7.30e-07,.0000289,-.0000296,2.62e+07,5.47e+07,1.03e+08,4.08e+07,5.03e+07,-20,-4371900,-1444,.3747995,.3673896,.3751019,.0796716,.0506817,10478,20560.86466,34250.32037,31091.37195,41381.57895,0,20,15,0,0,2500,2660,3009,1312,1216,0,.0000135,0,0,.004985,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,-.0000135
"Taxi cab drivers and chauffeurs","81",-.0000713,0,.0000215,.0022779,0,.0000326,-3.71e-06,.0000363,4.52e+07,7.04e+07,1.24e+08,1.48e+08,2.65e+08,-20,1.95e+08,1770,-.4865714,-.4998823,-.4391845,-.5002422,-.5782465,4476.237624,8013.712984,15426.80531,20280.44936,25152.86483,0,20,0,0,0,10100,8780,8054,7277,10550,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,0
"Timber, logging, and forestry workers","53",-.0000713,0,.0000215,.25,0,6.11e-07,-1.89e-06,2.50e-06,,2055000,,2347520,5715500,-20,3660500,122,,.1078707,,-.710236,-.6323688,,25687.5,,23475.2,28294.55446,,20,,0,0,,80,,100,202,,,0,,,0,280495,5.99e+12,4.88e+07,,1.28e+12,,4.59e+12,7.27e+12,,928580,,1287406,1209075,,9.33e+07,,1.24e+08,1.42e+08,-.0000215,
"Payroll and timekeeping clerks","48-49",-.0000713,0,.0000215,.0017825,0,.0000306,.0000739,-.0000433,7.41e+07,1.77e+08,2.53e+08,4.05e+08,3.60e+08,-20,1.83e+08,-2113,.2258656,.3646503,.3168229,.2222007,.2242024,7635.051546,15799.24242,24263.65936,29899.90693,39572.45855,0,20,29,0,0,9700,11220,10407,13538,9107,0,.0000261,0,0,.0027866,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,-.0000261
"Janitors","21",-.0000713,0,.0000215,.002079,0,.0000109,.0001052,-.0000943,3.09e+07,1.46e+08,1.73e+08,8.78e+07,2.11e+08,-20,6.54e+07,-4603,-.3052607,.072456,-.0534383,-.02182,.2901419,5831.132075,15184.5842,22486.4899,29321.85037,42154.04664,0,20,22,0,0,5300,9620,7673,2994,5017,0,.0000198,0,0,.0028672,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,-.0000198
"Assemblers of electrical equipment","72",-.0000713,0,.0000215,.0217391,0,2.95e-06,7.00e-06,-4.06e-06,145000,8557700,3.05e+07,2.13e+07,2.62e+07,-20,1.77e+07,-198,-.81982,-.2524739,-.4001232,-.2554607,.0143571,1450,9301.847826,10502.77724,16804.39274,36300.41551,0,20,0,0,0,100,920,2900,1268,722,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,0
"Elevator operators","31-33",-.0000713,0,.0000215,.0071429,0,.0001538,-.0002875,.0004414,2.24e+07,3.34e+07,3.21e+07,1.26e+09,9.55e+08,-20,9.21e+08,21540,.0878826,-.0547259,.040212,.132194,.0817096,5900,11939.21429,20683.58816,30666.04806,39227.0719,0,20,0,52,0,3800,2800,1554,40993,24340,0,0,.0000404,0,0,.0012685,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000215,0
"Stock and inventory clerks","62",-.0000784,.0000314,.0000646,.001662,.0010454,.0001483,.0001431,5.14e-06,7.28e+07,3.19e+08,5.37e+08,7.91e+08,1.21e+09,-22,8.88e+08,251,-.0354994,-.0853158,-.0858063,-.1000877,-.0770856,5203.214286,8843.606648,15461.238,23014.59758,33219.01323,100,60,13,25,38,14000,36100,34723,34352,36351,.0001369,.0000117,.0000194,.0071429,.0003744,.0007278,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000332,.0000197
"Airplane pilots and navigators","31-33",-.0000784,.000048,.0000862,.0208333,.0135482,.0000777,.0000687,9.04e-06,5.75e+07,1.07e+08,2.86e+08,2.55e+08,5.72e+08,-22,4.65e+08,441,.3231377,.3524,.328968,.416127,.6961971,12767.77778,27736.17188,42871.20135,68642.26681,133602.7096,100,80,24,45,58,4500,3840,6675,3718,4281,.0001369,.0000216,.000035,.0222222,.0035955,.0121033,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000382,.0000264
"General office clerks","42",-.0000784,.0000645,.0001077,.001298,.0022104,.000102,.0009575,-.0008555,2.37e+08,6.68e+08,1.05e+09,9.75e+08,1.28e+09,-22,6.11e+08,-41752,.0445071,-.0490109,.0416211,-.1219478,-.0345305,4883.744856,8673.517653,16694.79207,20888.93344,36243.61205,200,100,121,0,78,48600,77040,62819,46681,35288,.0002737,.0001088,0,.0041152,.0019262,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000432,-.0000443
"Dispatchers","48-49",-.0000856,.0000794,.0001292,.0030628,.0010373,.0005229,-.0005706,.0010936,2.26e+08,6.63e+08,1.45e+09,2.53e+09,3.80e+09,-24,3.13e+09,53370,.0068203,.1698947,.1411297,.1093397,.0225977,7911.013986,16925.47728,25577.05761,32657.13645,41011.44963,0,120,233,195,96,28600,39180,56505,77339,92550,0,.0002095,.0001515,0,.0041235,.0025214,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000498,-.0001301
"Actors, directors, producers","54",-.0000998,.0000595,.0001077,.049505,.0082503,.0001425,5.03e-06,.0001374,5830000,5.15e+07,1.36e+08,5.28e+08,9.05e+08,-28,8.53e+08,6707,.1251582,.5014006,.4672341,.3707245,.5217708,19433.33333,25513.21782,40704.63601,71725.85293,103689.8762,100,100,21,264,72,300,2020,3338,7357,8727,.0001369,.0000189,.0002051,.3333333,.0062912,.0358842,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000481,.0000407
"Advertising and related sales jobs","31-33",-.0001034,.0001414,.0002154,.02079,.0080142,.0002357,-4.42e-06,.0002401,1.00e+08,2.03e+08,5.13e+08,1.60e+09,1.61e+09,-29,1.41e+09,11717,.4037779,.2765573,.3289167,.3620614,.140113,13881.94444,21071.4657,36131.80265,60509.88816,75661.02175,100,200,170,752,171,7200,9620,14198,26502,21337,.0001369,.0001528,.0005841,.0138889,.0119735,.0283752,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.000074,-.0000114
"General office clerks","48-49",-.000107,.0000744,.0001292,.0016207,.0017153,.000126,.000568,-.000442,2.79e+08,1.01e+09,1.11e+09,1.28e+09,1.77e+09,-30,7.55e+08,-21571,.1341597,.1945933,.1207992,.0550734,-.0232263,6947.256858,13696.12102,20359.00428,26590.38105,33715.08636,200,120,61,99.00001,90,40100,74040,54663,48178,52469,.0002737,.0000548,.0000769,.0049875,.0011159,.0020549,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000548,.0000196
"Machine operators, n.e.c.","44-45",-.0001105,.0000405,.0000862,.0024525,.001226,.0001242,-.0000264,.0001505,1.79e+08,3.04e+08,5.67e+08,8.44e+08,1.05e+09,-31,7.44e+08,7346,-.2223078,-.211128,-.2125113,-.1973923,-.1224057,4350.242718,9314.371551,14983.76183,21174.94442,26212.99084,0,80,44,124,49,41200,32620,37851,39853,39966,0,.0000396,.0000963,0,.0011625,.0031114,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000456,9.66e-07
"Editors and reporters","54",-.0001176,.0001381,.0002154,.0147275,.0082153,.0001856,.0000473,.0001383,1.59e+08,2.46e+08,6.35e+08,5.04e+08,1.36e+09,-32.99998,1.11e+09,6748,.3180982,.1041123,.1380181,.012767,.0724782,12729.2,18149.30781,34701.94598,41175.58122,66813.30283,500,200,413,105,167,12500,13580,18309,12245,20328,.0006844,.0003713,.0000816,.04,.0225572,.0085749,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000773,-.0002332
"Personnel, HR, training, and labor relations specialists","92",-.0001212,.0000546,.0001077,.0011366,.0006211,.0008909,.0005161,.0003748,,1.48e+09,2.48e+09,4.50e+09,6.82e+09,-34,5.34e+09,18290,,.1780559,.1637335,.1432439,.336271,,16810.35122,29093.48035,40539.92264,64135.24257,,100,76,417,66,,87980,85154,111113,106270,,.0000683,.0003239,,.0008925,.0037529,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000531,-.0000137
"Personnel, HR, training, and labor relations specialists","72",-.0001248,.0000372,.0000862,.009009,.002452,.0001304,-.0000637,.0001941,,1.05e+08,2.47e+08,5.77e+08,8.86e+08,-35,7.81e+08,9472,,.0963788,.0725345,.1534987,.1672241,,11768.1982,20291.78327,32215.17111,48265.34983,,80,141,39,45,,8880,12195,17901,18352,,.0001268,.0000303,,.0115621,.0021786,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000489,-.0000896
"Janitors","53",-.0001319,.0001183,.0001938,.0019272,.0009388,.0005933,-.0006138,.0012072,2.72e+08,8.16e+08,1.73e+09,2.30e+09,4.37e+09,-37,3.55e+09,58914,-.3013887,-.3883495,-.381328,-.3126849,-.3279989,5002.302026,8736.234475,13899.68385,22678.75747,28690.42997,0,180,95,217,143,54300,93400,124402,101348,152314,0,.0000854,.0001686,0,.0007637,.0021411,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000756,.0000329
"Misc food prep workers","62",-.0001319,.0000521,.0001077,.0012974,.00099,.0001079,.0003834,-.0002755,,4.50e+08,7.94e+08,5.83e+08,1.10e+09,-37,6.47e+08,-13444,,-.2856288,-.2869011,-.4224927,-.4382236,,5833.928386,10462.36884,12965.65258,17227.43523,,100,116,57,63,,77080,75928,44983,63636,,.0001043,.0000443,,.0015278,.0012671,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000556,-.0000522
"Bookkeepers and accounting and auditing clerks","53",-.0001319,.0000686,.0001292,.0034188,.0024136,.0001652,.0001798,-.0000146,1.11e+08,3.30e+08,8.92e+08,1.12e+09,1.32e+09,-37,9.90e+08,-712,.1093713,.0464622,.0959249,.0721693,.0281192,5188.551402,9392.666667,17707.28551,27026.32277,38364.43661,0,120,47,60,83,21400,35100,50376,41540,34388,0,.0000423,.0000466,0,.000933,.0014444,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000606,.0000264
"Other financial specialists","72",-.000139,.0000339,.0000862,.1290323,.0315871,.0000211,7.21e-06,.0000139,,1.60e+07,1.17e+08,8.95e+07,1.42e+08,-39,1.26e+08,678,,.1533747,.3569185,.5217314,.6599119,,25763.3871,44295.38275,66259.37778,109684.1294,,80,222,55,41,,620,2644,1350,1298,,.0001996,.0000427,,.0839637,.0407407,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000522,-.0001657
"Purchasing managers, agents and buyers, n.e.c.","53",-.000139,.0001001,.0001723,.0888889,.0226974,.0000727,3.90e-07,.0000724,2.52e+07,4.37e+07,1.79e+08,2.04e+08,4.79e+08,-39,4.36e+08,3531,.5666448,.3010993,.2672657,.2716194,.4851932,18003.57143,24272.22222,38138.0158,53666.58997,89929.41099,300,160,103,86,121,1400,1800,4683,3807,5331,.0004106,.0000926,.0000668,.2142857,.0219944,.02259,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000722,7.47e-06
"Personal service occupations, nec","51",-.0001426,0,.0000431,.0163934,0,1.42e-06,.0000266,-.0000252,9580000,2.54e+07,8.47e+07,5190770,3.39e+07,-40,8483900,-1228,-.0813302,-.0343094,-.0828842,-.3544043,-.0535293,5042.105263,10409.30328,19373.50961,18406.98582,27955.94059,0,40,0,0,0,1900,2440,4370,282,1212,0,0,0,0,0,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,0
"Supervisors and proprietors of sales jobs","11",-.0001426,0,.0000431,.0487805,0,4.28e-06,7.54e-06,-3.26e-06,,1.20e+07,6.10e+07,7.60e+07,3.76e+07,-40,2.56e+07,-159,,.0197699,.0315415,.1063484,.2196717,,14626.95122,28960.81594,44251.1525,56931.92133,,40,33,15,0,,820,2108,1718,661,,.0000297,.0000117,,.0156546,.0087311,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0000297
"Supervisors of construction work","56",-.0001426,0,.0000431,.0079681,0,.0000137,.0000534,-.0000397,,8.75e+07,1.16e+08,2.31e+08,1.70e+08,-40,8.22e+07,-1936,,.1057675,.2356872,.1886356,.3164769,,17421.93227,33119.63706,41768.28028,55019.57198,,40,24,30,0,,5020,3513,5523,3084,,.0000216,.0000233,,.0068318,.0054318,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0000216
"Carpenters","53",-.0001426,0,.0000431,.0044248,0,.0000613,.0000123,.000049,5.44e+07,1.04e+08,2.48e+08,2.92e+08,4.71e+08,-40,3.67e+08,2393,-.0706463,-.2534268,-.1347186,-.2284987,-.1585476,7155.921053,11464.20354,21629.69588,27101.89402,41195.14869,0,40,54,18,0,7600,9040,11466,10776,11433,0,.0000486,.000014,0,.0047096,.0016704,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0000486
"Machine operators, n.e.c.","54",-.0001426,0,.0000431,.0050891,0,.0000664,-.0000609,.0001273,4.91e+07,9.07e+07,1.83e+08,4.13e+08,4.88e+08,-40,3.98e+08,6214,-.0460029,-.0714455,.0272936,-.0036894,-.0710936,5848.809524,11533.39695,20279.76647,27244.44677,34706.72701,0,40,0,47,0,8400,7860,9001,15162,14074,0,0,.0000365,0,0,.0030999,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,0
"Management analysts","72",-.0001426,0,.0000431,.0645161,0,.0000301,-.0000128,.0000429,,1.42e+07,3.18e+07,1.32e+08,1.94e+08,-40,1.80e+08,2095,,.1533152,.2273569,.3354612,.1132381,,22857.74194,32699.18827,54625.74257,71592.0442,,40,6,0,0,,620,972,2424,2715,,5.39e-06,0,,.0061728,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-5.39e-06
"Managers of properties and real estate","31-33",-.0001426,0,.0000431,.0217391,0,.0000222,.000025,-2.81e-06,1.12e+07,4.60e+07,9.97e+07,1.35e+08,1.79e+08,-40,1.33e+08,-137,.3848744,.2569857,.4710014,.5414053,.3098143,15992.85714,25004.61957,52349.77848,68370.91925,105094.2337,100,40,82,40,0,700,1840,1905,1969,1703,.0001369,.0000737,.0000311,.1428571,.0430446,.0203149,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0000737
"Production supervisors or foremen","11",-.0001426,0,.0000431,.0085837,0,2.12e-06,.0000533,-.0000512,7.44e+07,8.22e+07,7.38e+07,1.23e+08,9.49e+07,-40,1.27e+07,-2498,.1334994,.1058512,.1145883,.1140132,.3895198,8648.837209,17635.1073,28420.66256,35679.65407,43883.25624,100,40,0,14,0,8600,4660,2596,3440,2162,.0001369,0,.0000109,.0116279,0,.0040698,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,0
"Stock and inventory clerks","42",-.0001426,0,.0000431,.0007356,0,.0004924,-.00066,.0011524,2.04e+08,5.60e+08,1.11e+09,2.63e+09,3.51e+09,-40,2.95e+09,56243,-.1575308,-.0500377,-.0229114,-.0868957,-.0519816,5544.701087,10292.79147,17483.17107,22371.92553,31722.81369,200,40,55,102,0,36800,54380,63571,117767,110623,.0002737,.0000495,.0000792,.0054348,.0008652,.0008661,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0000495
"Cooks, variously defined","42",-.0001426,0,.0000431,.0105263,0,.000011,2.42e-06,8.59e-06,1.26e+07,4.26e+07,1.68e+08,1.06e+08,1.09e+08,-40,6.59e+07,419,-.3872105,-.1238188,-.2006577,-.1590254,-.3544163,4215,11220.39474,15560.84004,22891.32858,25735.71225,0,40,40,0,0,3000,3800,10784,4629,4219,0,.000036,0,0,.0037092,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.000036
"Gardeners and groundskeepers","92",-.0001426,0,.0000431,.0009975,0,.0000492,.0003832,-.000334,1.79e+08,3.86e+08,2.61e+08,4.30e+08,6.81e+08,-40,2.95e+08,-16302,-.2214181,-.3254178,-.2474431,-.2680277,-.2995537,5710.223642,9637.087282,16607.3248,24170.96139,28614.39028,0,40,0,35,0,31300,40100,15702,17795,23798,0,0,.0000272,0,0,.0019668,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,0
"Precision makers, repairers, and smiths","44-45",-.0001426,0,.0000431,.002457,0,.0001255,-6.69e-06,.0001322,1.07e+08,2.06e+08,5.92e+08,7.84e+08,9.57e+08,-40,7.52e+08,6450,-.084963,-.167163,-.157488,-.1839781,-.1266946,7604.255319,12622.86855,21139.677,31065.64284,42107.79015,100,40,75,68,0,14100,16280,27981,25227,22730,.0001369,.0000674,.0000528,.0070922,.0026804,.0026955,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0000674
"Real estate sales occupations","21",-.0001426,0,.0000431,.0769231,0,9.28e-06,2.40e-06,6.88e-06,,1.63e+07,9180823,6965980,7.18e+07,-40,5.56e+07,336,,.4216897,.175542,.4492785,.1064872,,31259.80769,40444.15419,46439.86667,83931.09813,,40,0,0,0,,520,227,150,856,,0,0,,0,0,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,0
"Human resources and labor relations managers","72",-.0001426,0,.0000431,.003861,0,.0001561,-.0001099,.000266,,1.29e+08,3.70e+08,8.62e+08,1.06e+09,-40,9.35e+08,12981,,.033175,.1983969,.1501301,.2012603,,12425.85907,23183.95702,34771.14399,45570.03727,,40,151,164,0,,10360,15938,24787,23341,,.0001358,.0001274,,.0094742,.0066164,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0001358
"Glaziers","44-45",-.0001426,0,.0000431,.0033445,0,.0000211,.0001391,-.000118,6.23e+07,1.64e+08,3.57e+08,5.00e+08,2.90e+08,-40,1.26e+08,-5760,.0630276,.0261601,.0462838,.0481859,.2562658,7982.692308,13687.42475,22506.04577,29564.31585,46773.31935,0,40,104,0,0,7800,11960,15841,16926,6200,0,.0000935,0,0,.0065652,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0000935
"Weighers, measurers, and checkers","31-33",-.0001426,0,.0000431,.0015408,0,.0001091,.0000956,.0000135,1.39e+08,3.39e+08,4.52e+08,8.15e+08,9.92e+08,-40,6.53e+08,660,.1272388,.1314335,.1302592,.0962242,-.001109,6604.761905,13061.13251,20421.04635,28202.27745,37283.24944,0,40,24,0,0,21000,25960,22138,28906,26620,0,.0000216,0,0,.0010841,0,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,-.0000431,-.0000216
